Year,Country,Region,Forest_Area_km2,Population_Density,Agricultural_Land_Percent,Rainfall_mm,Temperature_C,Road_Density_km_per_km2,Mining_Activity,Protected_Area_Percent,Deforestation_Rate,Fire_Incidents,Logging_Activity,Urban_Expansion_Rate,Carbon_Emissions_kt,Label
2024,Philippines,Amazon,876794,78,10.547296590427244,3531.9804158260745,20.522791032687596,0.16875862396722327,0.008303875781018644,15.778740333151653,0.019727968399505913,96,0.09404979713199524,1.1204671322680972,2802,danger
2019,Bolivia,Central,4378450,71,13.263948800193536,1787.2251294679058,28.525426448755006,0.01829557645547162,0.019105186870868287,11.724983426079298,0.02302040791187289,45,0.17440594696857337,1.9286310421301844,4530,danger
2016,Indonesia,Sumatra,3533349,95,20.34366364539136,2265.137852577749,21.98196386421668,0.05496029497930169,0.044075494344131785,28.73131223316012,0.011030169365700573,12,0.045008079808839876,1.7356964231525511,2233,safe
2018,Malaysia,Sarawak,2021466,39,11.114089632842976,1119.7675976912537,28.743980317083306,0.17905230815612222,0.058475680833730476,17.56392699056438,0.009203527147368676,28,0.09535904478007665,1.2215766912144774,2407,safe
2021,Indonesia,Madre de Dios,2980252,99,35.25501304193004,2347.2355424046277,23.525292413005175,0.011741454534925132,0.08162278518628002,21.52811102907267,0.029302399830307774,37,0.026516436036235838,1.5110392686891991,2693,danger
2022,Indonesia,Eastern,1282877,19,27.055934272064903,2732.839241911401,27.226835744744868,0.048265829530838605,0.0988262115143187,25.84006252260392,0.02043893283024046,32,0.07901526507763852,1.1524762687556944,3169,danger
2017,Brazil,Santa Cruz,4385180,20,31.92580810912088,2712.7211612564342,23.192252977861884,0.19221459343486355,0.038885149647411646,16.48627327751161,0.029535393045841594,16,0.035427090958600506,1.3380851123188287,6657,danger
2015,Congo,Palawan,4110793,17,16.985887435853183,1997.2800765230954,29.059116712346476,0.1265463508392125,0.004741563614008493,24.323290763552222,0.013443899678305726,85,0.0727255497542314,0.5870695055277557,4477,safe
2018,Bolivia,Madre de Dios,3799973,39,21.837281177464646,1946.5995419894066,21.266371255183742,0.05971755966112623,0.08011715032953248,12.708376996356561,0.02257579249935329,23,0.07469284335854441,1.5443952129507996,2431,danger
2016,Madagascar,Amazonas,3580977,79,36.552978994109004,1319.8708568097936,21.785197892725986,0.022728307935211044,0.060438071908280815,15.825874944110105,0.010565090913530943,55,0.19863415791966654,0.5792369667262051,7664,safe
2022,Vietnam,Central Highlands,2799899,63,48.612108945215994,2100.394961938805,24.930301251588023,0.01535635468497221,0.01985428588682017,12.894212722730398,0.011530004281847823,24,0.19896260586075445,1.7256274203794741,4544,safe
2018,Malaysia,Sarawak,2472424,25,12.016670944088368,1298.484006618894,20.81938439038146,0.05650156513101618,0.04948284566214202,26.224611168027156,0.017797553031740597,76,0.022957255732122483,1.7374203941908362,2982,danger
2016,Peru,Palawan,1836092,58,45.615372834210646,3299.7878341361547,21.95980184701762,0.177482305721893,0.07423102455337244,14.452984704535707,0.01299045313770178,24,0.14519375586566946,0.8556159313343219,5160,safe
2020,Bolivia,Central Highlands,1350350,79,33.07524805244834,3898.8228932445577,29.437663822120143,0.0890235943165268,0.07704117870686439,24.348071108104207,0.00919053909601461,60,0.01034909593382023,0.9854941715537004,5044,safe
2020,Colombia,Sarawak,3979027,34,32.55678267022495,3910.2233700001207,29.76489661147887,0.14686334014153868,0.049961841199876206,28.865967944913052,0.01157201754973315,97,0.006038403067437726,1.22196556783744,7530,safe
2024,Madagascar,Amazon,3705228,52,30.011141408310415,3595.2132981261816,23.76259329330422,0.18447415672219197,0.030521453012885915,20.55544418137754,0.005893709861646616,17,0.021066778848992863,1.3949943603987223,6992,safe
2018,Brazil,Eastern,667647,39,12.775763436167335,2802.3764480188574,29.232860210139357,0.08752768770453515,0.09737425820384936,20.800583845213755,0.022610590536937165,78,0.1930971314015868,0.9310304926129951,5924,danger
2020,Brazil,Madre de Dios,2833679,90,13.595074069446426,3102.59709173164,25.448246756734317,0.04634270049710544,0.06633626109564929,19.220671361956242,0.01730291642714654,71,0.1881727095789395,1.3887296069478876,5312,danger
2016,Bolivia,Central,935477,42,34.036480226363445,1855.6174080412422,22.69742465873767,0.1082524068628147,0.04082375193462987,16.517802867872856,0.007356076660113141,60,0.03878556405613609,0.9466806098439483,6873,safe
2024,Philippines,Sarawak,2183523,35,23.63834285742233,2892.311260517862,27.023987210805984,0.18253590054137236,0.028046322420465244,19.513100618498342,0.00929234982821228,72,0.0323344671107423,0.583236081606591,6318,safe
2016,Indonesia,Central,4696656,82,46.69072266310722,2366.9486483196324,26.589018065748572,0.16283113868616314,0.07311029830035622,22.056150645335187,0.007563363452816101,77,0.048107017303189406,0.5037913247478634,7867,safe
2024,Colombia,Eastern,4827308,28,26.26362149437889,2446.0520193307975,29.891253191087333,0.022507670238999217,0.02421834455937677,29.719831443413188,0.02031482020689691,87,0.10310939881502844,0.651726586877643,3688,danger
2018,Brazil,Santa Cruz,3460033,53,15.731258348105644,3273.329681125474,22.650472874092834,0.14158883201474057,0.017170998897368818,28.755291186364484,0.007355259090312345,25,0.11394092640708198,1.6883760502460272,2467,safe
2022,Malaysia,Amazonas,2081420,36,38.58875334008144,1845.7550667917549,26.720595026617353,0.1186605292672012,0.05298338889620703,27.243059165862434,0.023857058325880403,93,0.04431868608788947,1.9421469685750057,4616,danger
2021,Brazil,Madre de Dios,1286261,59,21.734136857640394,1954.1188350835596,20.520237550294468,0.18241800350582085,0.028998739264414188,27.782610714097167,0.0055127729830097795,33,0.15132455761798905,1.140449298921829,3345,safe
2023,Peru,Eastern,3994708,83,31.018812294235726,3773.92537338591,21.136460386967194,0.03327146920155648,0.06289051449236151,19.356983665840858,0.011234394699897302,15,0.061910633880530155,1.269025930174914,4422,safe
2022,Vietnam,Eastern,3328630,62,37.9133114202068,1168.6728845529167,20.039183749510933,0.11146686150888475,0.01179386748742335,23.148886543549295,0.02726666689729768,66,0.1844262651058821,0.7202722536101391,6507,danger
2019,Brazil,Amazon,4744402,7,46.01056444808282,2456.9028952400213,29.994606810596732,0.17709791176725956,0.06549411045673216,27.901334458724282,0.02296328295305615,40,0.13134454129134612,1.3265470290202355,6721,danger
2016,Peru,Central Highlands,3579042,84,41.68764779206704,3738.402401223585,28.022736971474778,0.08790451948093117,0.028329652799770223,17.85901529982706,0.006824208323142193,15,0.08727023886072234,0.7169823530104653,7371,safe
2019,Bolivia,Amazonas,3262081,73,37.054442714908966,2831.0890234544713,27.86723014733541,0.10157903436924474,2.429344345127316e-05,29.235249566909374,0.025528152612129495,88,0.1579824003405691,1.416821496798245,3011,danger
2022,Bolivia,Madre de Dios,626060,89,37.18532729580574,2639.2212226363963,25.097260752881798,0.02338752875672208,0.012693605767417638,18.31572124138366,0.01732587803850512,38,0.16358292520933296,1.8998880013712807,3677,danger
2024,Madagascar,Santa Cruz,4824848,14,47.83698576128346,1749.2325376880658,23.0006708290544,0.06284729168529306,0.09336153778350942,22.021653307864312,0.02616957567922073,76,0.05809632112178873,0.7935478089545593,5697,danger
2023,Brazil,Santa Cruz,3296461,87,21.83296389986144,2029.8264671933448,21.51264284462676,0.0716562633421,0.08673546391153579,24.19609426544744,0.020018494361259832,84,0.06794290876721687,1.646845577085653,6897,danger
2023,Malaysia,Sumatra,3577099,29,10.044483767847495,3556.1452474140788,22.846747388464635,0.18957326526152854,0.023360903203623686,29.011840261518767,0.022045825800821466,12,0.1871910307457207,0.5352536342274861,6066,danger
2015,Brazil,Eastern,3344180,72,20.87818237592795,2677.6543953053742,23.75971221929139,0.06370679850282021,0.07783719045454912,14.89232548104532,0.0298375390098927,37,0.032948207672654384,1.0632458619824314,3892,danger
2023,Malaysia,Sarawak,3121578,65,18.71565518506976,2544.22658127034,27.56310096980294,0.09756505970123387,0.06085715931739743,24.922619564772845,0.010808388648100454,83,0.008430083392586841,0.6661227617457636,7656,safe
2021,Congo,Amazon,2172795,33,36.473383404559925,1298.7391406200868,25.396617889031525,0.13754784047721316,0.09709047114498695,20.416311722881645,0.020598639369034707,57,0.09081106452190985,1.028713162393549,7487,danger
2023,Madagascar,Amazonas,4593886,23,35.34846399062116,1048.0844693653694,20.77483626555483,0.0408148407574967,0.037360565953405915,15.37114281241282,0.016508034751434957,89,0.1602419800487258,0.7603053794583252,4869,danger
2022,Congo,Santa Cruz,2754103,47,33.73845530818895,3891.055566061147,20.18029008958912,0.10242405355695615,0.06814606125171713,25.532136795927812,0.0059862988230672855,19,0.15433362126214917,1.0599574851843312,6350,safe
2015,Brazil,Madre de Dios,3439362,70,10.649737728378149,2130.958501860525,21.02332179534063,0.15032241750042247,0.006353572242391858,21.04444560347693,0.005361766037571626,42,0.18390612578256652,1.1262842091612955,3486,safe
2022,Madagascar,Sumatra,1062060,78,39.1511221780259,2809.639186298513,24.104987136973794,0.17470249047514255,0.0396247346816406,23.219476412993515,0.007980714445446466,76,0.10664013287380805,0.9508866841713776,5339,safe
2022,Congo,Madre de Dios,2006145,65,22.94121649941966,1239.145219561855,29.331929170490184,0.12898926218586107,0.09638176611881805,16.45802137155802,0.021227293513463703,78,0.020012934313306665,1.4849329242096938,3416,danger
2017,Indonesia,Amazon,3148202,47,36.60223956026525,3049.3428571691397,26.374024812092216,0.1371201679102201,0.05389808744501206,19.6254790365521,0.019179077197834803,21,0.11773779486720322,1.8782780768883645,6857,danger
2015,Brazil,Sarawak,1692931,29,32.26313714008613,3797.700126117883,28.01825899875515,0.0339938597910681,0.02878795033348446,22.34708501976134,0.018835739029093183,66,0.15567912287064234,1.1008930611579086,4846,danger
2022,Congo,Sumatra,1371522,24,23.709237017116287,2726.9957589922587,24.663745945045484,0.18969753447680598,0.012027096312860686,18.09821628539688,0.005796419063206502,53,0.01866562405396528,0.7885147347125321,3357,safe
2017,Indonesia,Sumatra,2042247,52,15.38305068416431,1378.3459671262317,23.616660831950426,0.03518907472205165,0.07035283401815305,13.967450796954026,0.016732574909000174,22,0.034531480219517956,0.906084137293975,6060,danger
2017,Indonesia,Central Highlands,4872216,87,13.776755906419238,2745.16458242043,21.084003727166227,0.1571878580645417,0.06448560434297268,29.23280984630608,0.028115570446063214,33,0.0024581322311341804,1.7810012352445534,6660,danger
2015,Bolivia,Amazonas,2681906,91,43.26073332448894,3299.041639313957,28.75933022186205,0.06031510113788058,0.037393871360377466,20.229350800852348,0.014939796732766165,53,0.11873051588936208,1.3574595849052218,3391,safe
2019,Brazil,Sumatra,1102276,28,46.73590168326232,2219.249609722056,27.831600290279027,0.1873826973032378,0.09509413518658344,24.678407405754008,0.02062306174471141,66,0.1773468783891809,1.1825165484604359,3578,danger
2024,Indonesia,Central Highlands,2000134,15,35.99152187057199,3639.5132438244036,21.681180975977252,0.1467923124802011,0.002220281298785032,18.220943871121165,0.024495466890578587,25,0.13413266320041992,0.7244550822633901,5749,danger
2021,Bolivia,Central Highlands,3104884,59,14.137364594419335,2946.0488600720937,25.122605638762607,0.15322460546589012,0.03037238516318258,17.102635280514328,0.02459813197854719,30,0.19640801751819642,1.174590962485673,5625,danger
2024,Congo,Amazon,2205243,32,26.081088675529628,3697.7467548676077,24.873748079212447,0.05162124288137783,0.09210694862995815,18.1432859693425,0.017982002059881784,85,0.012606730499952312,0.9177380050360799,4503,danger
2023,Peru,Central,4774692,73,39.15756800420629,2870.515933742012,26.250915526865285,0.09417759556068055,0.03209354383194404,18.183932875712998,0.026448798635058408,60,0.18060021703029927,1.9147446917800237,7186,danger
2021,Brazil,Madre de Dios,4522928,67,41.192835360402725,1393.8639160144726,29.461868939912613,0.12738450697196443,0.02522528338551704,20.883602318839074,0.014784452334093673,30,0.16281365747733614,1.826105164123597,5137,safe
2023,Madagascar,Sarawak,739779,63,14.728744891643544,1929.0751333155672,25.797714417624796,0.1562949874592542,0.05342204099312473,20.869397399627264,0.027217330369619958,69,0.06284830409990098,0.625853812742297,7714,danger
2022,Malaysia,Palawan,3475605,9,10.001228753815298,1605.3848447573707,25.402172667786186,0.029752281423354017,0.0823801749920538,19.943076317657432,0.011005679159888633,60,0.19470531036745037,1.2749802338918643,4909,safe
2016,Malaysia,Madre de Dios,1288140,55,38.4854818352242,3726.479493150587,20.503229329346638,0.1928494101263604,0.010314676087836106,12.695715698348762,0.012005410174764275,30,0.05758754963428301,0.8375875182720081,4664,safe
2015,Congo,Sumatra,4058539,25,24.263847039448226,3281.200201862448,20.629074760180238,0.17914192740536566,0.09430207096457362,19.92150957001062,0.006328015604975028,15,0.1778609447656437,1.116165634286436,2399,safe
2021,Philippines,Sarawak,4246037,16,20.17925326473041,3029.195106730018,21.873467913267888,0.06136623219416103,0.07950728811811641,13.38207800841303,0.024889545913557073,82,0.1761497154148379,1.8152719973771847,6382,danger
2021,Philippines,Santa Cruz,2623238,54,10.515898791581018,1902.898958894865,20.324707716917484,0.1663244461761431,0.018125025555155196,12.522715725915303,0.01542638090581764,74,0.1515315233205945,1.2912717798328173,5957,danger
2022,Congo,Central,2118963,8,31.611976270459987,1552.1343161506406,27.433528955700126,0.10848154537756645,0.07120079611981626,28.652914346823355,0.010727915347784975,85,0.11269409476257038,1.0013229400561396,4233,safe
2019,Indonesia,Santa Cruz,1090381,46,44.04602941703927,3269.3532639667355,27.23330303993963,0.09774323149678354,0.03849587226375572,22.099000262954085,0.010794756940414492,67,0.024000549923377613,0.8118325311574957,3539,safe
2017,Brazil,Santa Cruz,3432235,88,48.30526585090352,2422.473837637239,21.360562344316428,0.06974248010416703,0.04022946780763187,23.189801162491683,0.02753499853073083,87,0.10639434689929966,1.7004872891097338,2236,danger
2022,Malaysia,Amazonas,4183909,42,32.62979802453157,1677.3686564518873,28.36078900795281,0.12038403146000257,0.07832900924388664,18.035873406667275,0.02584791501152592,15,0.07135925113098691,1.4367770230465207,6910,danger
2020,Malaysia,Madre de Dios,2039600,29,30.578453109595767,2849.865934495825,21.54786034846112,0.1486789323636836,0.09627848079807322,28.179617838297283,0.018838272133929582,74,0.15844340663107037,1.2020981906393469,2927,danger
2017,Indonesia,Palawan,2727503,18,13.402255419569645,1121.001556415356,23.011755869973587,0.08807725194292407,0.012665587284719393,22.758609791593308,0.020402770010393027,95,0.15162584129936899,0.8262265307944671,6509,danger
2015,Malaysia,Amazon,4732939,79,31.95491206170399,1978.5107623847605,22.48976899161365,0.1295516466715755,0.042063023687881944,25.38339739047175,0.016858139263757274,43,0.18212250147452105,1.001369561235697,2419,danger
2017,Madagascar,Palawan,3570771,36,25.199163158615786,2405.6709837734043,23.723070985730477,0.14286945501950774,0.048094160808430354,17.371249380554275,0.014791663571970221,65,0.0029660324863415746,1.9397651401077778,6124,safe
2019,Brazil,Santa Cruz,1643647,15,34.285411235343076,1443.8750023282175,22.54663765889962,0.14511314523290433,0.03763118169549976,29.20023761638251,0.027886922030458287,84,0.16182064336460922,1.2801349064087515,4395,danger
2017,Vietnam,Sumatra,4111646,65,25.54905391506187,3953.963432772519,24.88950926438452,0.019873558644924245,0.036318912371622505,26.4092258031663,0.008140317588007552,12,0.18769241062493378,1.1010489218648793,2660,safe
2015,Malaysia,Central,1916953,22,19.61196493801467,1627.2920937688427,24.074078813546855,0.17335208308016273,0.005226866756159654,27.078969260290872,0.015461169742905699,51,0.15786008982163002,1.282133063522486,4623,danger
2019,Congo,Eastern,3194245,31,13.79861100913506,1391.0593901297966,29.865694907793266,0.0970681298053591,0.06855386205626234,13.443885348515085,0.013614047699696884,71,0.026038891974073344,1.668482758849413,5950,safe
2024,Madagascar,Palawan,4622186,59,22.59673778355583,1610.6046216606892,20.559263501282256,0.05985905552228075,0.04362144171200454,15.41926415742439,0.017453768006278708,15,0.01625582096817755,1.010163404754303,2449,danger
2021,Malaysia,Santa Cruz,921280,58,13.86579337151009,3307.1833994791727,21.421813763873516,0.05593525642113951,0.01947938026439268,15.712531993671542,0.016440796863629377,15,0.004169047961540162,0.7680591813989133,2379,danger
2021,Madagascar,Central,1409245,86,17.07587803295936,2276.5169778155287,20.528258939086026,0.10177268144035058,0.08160335023020684,15.418184464937424,0.017972238291277035,72,0.12574904516561422,1.3774041775085717,3250,danger
2023,Bolivia,Sarawak,841207,91,49.49344634318184,2696.247819257614,26.25841194982376,0.17849799249910225,0.0802560748151628,27.10816324208576,0.008497974430674852,29,0.12593453037197747,1.4978061552216007,4459,safe
2024,Vietnam,Madre de Dios,1730746,79,27.764142276264746,1063.0274709590822,20.545092774137196,0.08188604051970291,0.048639162808889386,10.637695904171842,0.017828537537831927,30,0.19738274284364246,1.5690770044378244,4998,danger
2024,Colombia,Central Highlands,3789791,25,31.274870660200662,1103.2939257199437,28.364397373761236,0.15244789188887323,0.029845066114776053,11.521999779615486,0.011060470347180272,11,0.07960863482081915,1.8229813861491944,6451,safe
2017,Congo,Amazonas,1092632,48,44.944741149488614,2337.4766494810483,25.11938630681928,0.02839555888757154,0.06380927257964523,15.478297412598074,0.009608283724704781,99,0.06638125697949936,1.0567611810336697,4301,safe
2021,Congo,Central,4537106,9,49.82275601962751,3449.9657296048704,25.27007624581534,0.10045077340870173,0.028815213577740306,13.997459492988874,0.0066208554696547805,99,0.1248849854368785,0.6130323443433376,7792,safe
2015,Brazil,Sumatra,1972178,91,33.308577973787266,3655.7166361226955,25.615945077121943,0.1984203666746198,0.023600793032371205,14.637192277656968,0.024066313968903522,65,0.1651217345015188,1.9375228754464133,2726,danger
2018,Madagascar,Sumatra,1662189,45,42.498952841766865,1260.1197027869207,21.708137063062107,0.15638318253054403,0.07305146540263267,25.958863785066,0.015686048021413997,19,0.1873547899046004,1.1525178911562128,3467,danger
2018,Indonesia,Central,4370426,63,23.077640973467012,2615.089306303068,21.976903031144875,0.050000412803716476,0.00403252397209507,21.26253187784094,0.02066609208279396,96,0.16062483323580773,1.434886264509697,4728,danger
2019,Congo,Sumatra,914299,93,22.229758297891642,3739.6890588378114,23.188173228730047,0.10527388000260303,0.009476847103459397,10.11541322585936,0.023189833582618582,79,0.08533479612316096,1.4994579846924383,5152,danger
2021,Madagascar,Madre de Dios,2881486,58,26.10814883978241,2163.918263193659,25.934964158218513,0.05438870509322764,0.0006788174023589777,18.586455314083906,0.02198291663283884,32,0.12698284706241283,1.3197705630518053,5520,danger
